Numero1,Numero2,Numero3,Numero4,Numero5,Estrela1,Estrela2,Ano,Premio,Mes,MesNumerico,Dia,Semana,ÉSexta?,SomaNumeros,ÉImparNumeros?,SomaEstrelas,ÉImparEstrelas?
12,17,31,32,40,2,9,2005,32000000,mai,5,13,sx,1,132,0,11,1
6,7,13,28,47,5,8,2005,42000000,mai,5,20,sx,1,101,1,13,1
2,24,31,48,50,4,9,2005,15000000,mai,5,27,sx,1,155,1,13,1
3,8,11,17,50,1,5,2005,23000000,jun,6,03,sx,1,89,1,6,0
6,7,32,37,47,1,7,2005,33000000,jun,6,10,sx,1,129,1,8,0
4,8,10,18,21,1,7,2005,42000000,jun,6,17,sx,1,61,1,8,0
6,8,14,15,45,7,8,2005,52000000,jun,6,24,sx,1,88,0,15,1
4,5,23,25,28,3,4,2005,60000000,jul,7,01,sx,1,85,1,7,1
35,36,42,46,49,2,8,2005,69000000,jul,7,08,sx,1,208,0,10,0
1,11,12,23,42,3,6,2005,81000000,jul,7,15,sx,1,89,1,9,1
3,14,41,48,49,1,4,2005,96000000,jul,7,22,sx,1,155,1,5,1
3,19,26,49,50,4,5,2005,113000000,jul,7,29,sx,1,147,1,9,1
2,11,21,22,30,4,6,2005,15000000,ago,8,05,sx,1,86,0,10,0
15,23,30,37,40,7,9,2005,24000000,ago,8,12,sx,1,145,1,16,0
11,24,29,31,41,1,3,2005,35000000,ago,8,19,sx,1,136,0,4,0
9,29,35,40,41,1,6,2005,45000000,ago,8,26,sx,1,154,0,7,1
3,4,14,43,50,3,6,2005,57000000,set,9,02,sx,1,114,0,9,1
8,12,19,31,50,6,7,2005,66000000,set,9,09,sx,1,120,0,13,1
12,13,19,21,38,3,9,2005,76000000,set,9,16,sx,1,103,1,12,0
1,26,31,34,47,4,9,2005,15000000,set,9,23,sx,1,139,1,13,1
6,11,47,48,50,1,6,2005,24000000,set,9,30,sx,1,162,0,7,1
2,13,21,26,44,3,9,2005,15000000,out,10,07,sx,1,106,0,12,0
10,11,19,20,23,1,6,2005,15000000,out,10,14,sx,1,83,1,7,1
1,14,19,29,33,1,8,2005,15000000,out,10,21,sx,1,96,0,9,1
14,36,44,47,50,3,5,2005,24000000,out,10,28,sx,1,191,1,8,0
26,36,37,38,42,2,6,2005,35000000,nov,11,04,sx,1,179,1,8,0
15,16,36,41,42,3,5,2005,44000000,nov,11,11,sx,1,150,0,8,0
17,18,25,34,48,2,3,2005,15000000,nov,11,18,sx,1,142,0,5,1
1,6,27,39,47,1,6,2005,24000000,nov,11,25,sx,1,120,0,7,1
1,9,20,23,30,4,7,2005,35000000,dez,12,02,sx,1,83,1,11,1
11,18,35,38,42,1,5,2005,44000000,dez,12,09,sx,1,144,0,6,0
2,3,15,18,32,6,7,2005,55000000,dez,12,16,sx,1,70,0,13,1
15,31,36,37,42,1,7,2005,66000000,dez,12,23,sx,1,161,1,8,0
8,16,19,43,45,1,4,2005,75000000,dez,12,30,sx,1,131,1,5,1
2,6,9,14,26,4,5,2006,88000000,jan,1,06,sx,1,57,1,9,1
8,12,19,33,34,1,6,2006,103000000,jan,1,13,sx,1,106,0,7,1
12,15,33,44,50,2,6,2006,125000000,jan,1,20,sx,1,154,0,8,0
9,15,21,40,49,1,4,2006,146000000,jan,1,27,sx,1,134,0,5,1
9,21,30,39,50,1,3,2006,183000000,fev,2,03,sx,1,149,1,4,0
5,6,38,48,50,6,7,2006,15000000,fev,2,10,sx,1,147,1,13,1
4,23,24,26,38,2,4,2006,27000000,fev,2,17,sx,1,115,1,6,0
1,11,18,19,47,3,7,2006,15000000,fev,2,24,sx,1,96,0,10,0
3,5,8,10,44,3,5,2006,26000000,mar,3,03,sx,1,70,0,8,0
1,21,33,45,49,4,8,2006,38000000,mar,3,10,sx,1,149,1,12,0
5,32,44,45,50,1,7,2006,51000000,mar,3,17,sx,1,176,0,8,0
17,28,33,35,47,4,9,2006,64000000,mar,3,24,sx,1,160,0,13,1
3,20,31,45,50,6,7,2006,75000000,mar,3,31,sx,1,149,1,13,1
12,13,29,44,50,4,5,2006,15000000,abr,4,07,sx,1,148,0,9,1
16,26,34,35,49,2,6,2006,26000000,abr,4,14,sx,1,160,0,8,0
1,20,22,37,46,1,9,2006,15000000,abr,4,21,sx,1,126,0,10,0
5,10,17,22,33,5,7,2006,25000000,abr,4,28,sx,1,87,1,12,0
4,8,14,16,50,3,9,2006,15000000,mai,5,05,sx,1,92,0,12,0
5,20,23,34,50,1,5,2006,25000000,mai,5,12,sx,1,132,0,6,0
3,5,25,34,49,5,8,2006,15000000,mai,5,19,sx,1,116,0,13,1
2,12,21,41,49,3,7,2006,15000000,mai,5,26,sx,1,125,1,10,0
7,8,27,41,48,1,6,2006,15000000,jun,6,02,sx,1,131,1,7,1
3,12,15,34,39,4,6,2006,25000000,jun,6,09,sx,1,103,1,10,0
1,16,26,30,36,3,9,2006,36000000,jun,6,16,sx,1,109,1,12,0
9,21,30,43,44,1,9,2006,46000000,jun,6,23,sx,1,147,1,10,0
6,15,16,40,43,1,2,2006,58000000,jun,6,30,sx,1,120,0,3,1
7,9,18,35,43,5,7,2006,67000000,jul,7,07,sx,1,112,0,12,0
1,7,17,31,36,2,8,2006,15000000,jul,7,14,sx,1,92,0,10,0
2,4,9,38,50,6,8,2006,25000000,jul,7,21,sx,1,103,1,14,0
3,8,12,29,43,6,7,2006,15000000,jul,7,28,sx,1,95,1,13,1
1,14,15,26,32,3,7,2006,24000000,ago,8,04,sx,1,88,0,10,0
27,28,31,46,47,2,5,2006,35000000,ago,8,11,sx,1,179,1,7,1
12,37,39,40,50,1,2,2006,45000000,ago,8,18,sx,1,178,0,3,1
10,28,40,47,48,6,8,2006,56000000,ago,8,25,sx,1,173,1,14,0
3,7,25,45,50,6,9,2006,15000000,set,9,01,sx,1,130,0,15,1
1,10,12,32,33,1,8,2006,25000000,set,9,08,sx,1,88,0,9,1
6,10,16,26,49,7,9,2006,35000000,set,9,15,sx,1,107,1,16,0
10,29,30,45,49,3,8,2006,47000000,set,9,22,sx,1,163,1,11,1
1,3,6,18,24,5,8,2006,58000000,set,9,29,sx,1,52,0,13,1
5,11,22,35,38,7,8,2006,68000000,out,10,06,sx,1,111,1,15,1
2,25,32,38,41,3,5,2006,80000000,out,10,13,sx,1,138,0,8,0
10,19,34,45,47,3,6,2006,95000000,out,10,20,sx,1,155,1,9,1
3,4,8,44,50,7,8,2006,113000000,out,10,27,sx,1,109,1,15,1
11,13,24,44,49,3,9,2006,131000000,nov,11,03,sx,1,141,1,12,0
14,21,27,30,36,2,3,2006,152000000,nov,11,10,sx,1,128,0,5,1
12,22,32,33,36,2,6,2006,180000000,nov,11,17,sx,1,135,1,8,0
5,8,17,25,40,1,5,2006,15000000,nov,11,24,sx,1,95,1,6,0
4,8,16,37,41,2,5,2006,15000000,dez,12,01,sx,1,106,0,7,1
16,17,18,36,47,1,2,2006,27000000,dez,12,08,sx,1,134,0,3,1
9,23,35,37,42,3,7,2006,39000000,dez,12,15,sx,1,146,0,10,0
9,11,20,38,43,2,3,2006,52000000,dez,12,22,sx,1,121,1,5,1
6,9,13,14,35,3,4,2006,67000000,dez,12,29,sx,1,77,1,7,1
17,19,29,36,45,5,6,2007,78000000,jan,1,05,sx,1,146,0,11,1
8,11,14,19,25,3,5,2007,15000000,jan,1,12,sx,1,77,1,8,0
5,13,27,33,42,2,4,2007,15000000,jan,1,19,sx,1,120,0,6,0
11,15,23,30,38,4,9,2007,15000000,jan,1,26,sx,1,117,1,13,1
14,23,27,30,36,1,6,2007,26000000,fev,2,02,sx,1,130,0,7,1
14,16,30,36,46,2,8,2007,100000000,fev,2,09,sx,1,142,0,10,0
8,19,20,39,50,6,9,2007,15000000,fev,2,16,sx,1,136,0,15,1
2,15,18,20,22,2,5,2007,27000000,fev,2,23,sx,1,77,1,7,1
3,16,34,38,48,5,8,2007,41000000,mar,3,02,sx,1,139,1,13,1
2,3,25,43,48,6,9,2007,15000000,mar,3,09,sx,1,121,1,15,1
4,14,31,45,49,4,9,2007,27000000,mar,3,16,sx,1,143,1,13,1
5,13,17,40,43,1,3,2007,41000000,mar,3,23,sx,1,118,0,4,0
9,17,19,41,46,1,8,2007,15000000,mar,3,30,sx,1,132,0,9,1
15,23,29,41,48,3,6,2007,27000000,abr,4,06,sx,1,156,0,9,1
7,20,25,38,41,3,7,2007,15000000,abr,4,13,sx,1,131,1,10,0
23,26,32,41,45,3,7,2007,15000000,abr,4,20,sx,1,167,1,10,0
7,18,27,36,44,1,2,2007,27000000,abr,4,27,sx,1,132,0,3,1
6,17,35,41,45,1,5,2007,39000000,mai,5,04,sx,1,144,0,6,0
7,12,26,29,49,2,6,2007,52000000,mai,5,11,sx,1,123,1,8,0
26,34,37,39,49,2,6,2007,15000000,mai,5,18,sx,1,185,1,8,0
25,26,29,49,50,7,8,2007,15000000,mai,5,25,sx,1,179,1,15,1
6,22,37,41,42,6,9,2007,15000000,jun,6,01,sx,1,148,0,15,1
1,15,17,25,45,2,8,2007,15000000,jun,6,08,sx,1,103,1,10,0
5,7,14,21,40,3,8,2007,27000000,jun,6,15,sx,1,87,1,11,1
11,16,17,22,34,5,6,2007,15000000,jun,6,22,sx,1,100,0,11,1
8,12,28,33,45,1,3,2007,26000000,jun,6,29,sx,1,126,0,4,0
4,5,19,39,41,8,9,2007,39000000,jul,7,06,sx,1,108,0,17,1
9,13,15,31,48,3,6,2007,54000000,jul,7,13,sx,1,116,0,9,1
10,21,25,26,50,4,9,2007,15000000,jul,7,20,sx,1,132,0,13,1
1,4,21,29,41,7,8,2007,26000000,jul,7,27,sx,1,96,0,15,1
10,30,33,37,41,1,8,2007,38000000,ago,8,03,sx,1,151,1,9,1
23,40,42,43,49,2,6,2007,52000000,ago,8,10,sx,1,197,1,8,0
2,3,13,38,42,7,8,2007,15000000,ago,8,17,sx,1,98,0,15,1
1,3,16,42,48,2,3,2007,26000000,ago,8,24,sx,1,110,0,5,1
6,18,22,23,37,5,6,2007,39000000,ago,8,31,sx,1,106,0,11,1
2,3,33,34,42,3,5,2007,15000000,set,9,07,sx,1,114,0,8,0
5,9,11,29,33,7,9,2007,15000000,set,9,14,sx,1,87,1,16,0
1,17,32,35,37,1,8,2007,27000000,set,9,21,sx,1,122,0,9,1
22,30,34,35,44,4,5,2007,130000000,set,9,28,sx,1,165,1,9,1
11,20,27,35,44,2,5,2007,15000000,out,10,05,sx,1,137,1,7,1
21,32,36,46,47,3,4,2007,15000000,out,10,12,sx,1,182,0,7,1
7,18,34,35,40,7,8,2007,15000000,out,10,19,sx,1,134,0,15,1
7,20,38,40,43,1,8,2007,27000000,out,10,26,sx,1,148,0,9,1
3,16,18,19,40,1,2,2007,40000000,nov,11,02,sx,1,96,0,3,1
5,14,22,25,36,5,6,2007,15000000,nov,11,09,sx,1,102,0,11,1
9,18,23,33,37,1,8,2007,15000000,nov,11,16,sx,1,120,0,9,1
2,10,22,29,48,3,9,2007,27000000,nov,11,23,sx,1,111,1,12,0
12,19,20,30,38,7,9,2007,15000000,nov,11,30,sx,1,119,1,16,0
2,4,32,43,48,1,7,2007,27000000,dez,12,07,sx,1,129,1,8,0
8,25,30,36,44,3,4,2007,15000000,dez,12,14,sx,1,143,1,7,1
7,9,28,37,44,6,7,2007,27000000,dez,12,21,sx,1,125,1,13,1
20,21,22,31,45,7,9,2007,15000000,dez,12,28,sx,1,139,1,16,0
10,12,24,25,41,3,5,2008,26000000,jan,1,04,sx,1,112,0,8,0
8,24,36,49,50,4,8,2008,39000000,jan,1,11,sx,1,167,1,12,0
14,16,23,40,46,4,8,2008,55000000,jan,1,18,sx,1,139,1,12,0
2,6,9,19,45,7,8,2008,73000000,jan,1,25,sx,1,81,1,15,1
22,30,45,47,49,4,9,2008,15000000,fev,2,01,sx,1,193,1,13,1
17,28,30,38,44,1,4,2008,130000000,fev,2,08,sx,1,157,1,5,1
12,27,29,45,46,4,7,2008,15000000,fev,2,15,sx,1,159,1,11,1
4,27,32,46,50,8,9,2008,28000000,fev,2,22,sx,1,159,1,17,1
12,37,40,47,49,2,9,2008,15000000,fev,2,29,sx,1,185,1,11,1
2,7,14,17,35,1,6,2008,15000000,mar,3,07,sx,1,75,1,7,1
13,21,25,35,48,4,8,2008,28000000,mar,3,14,sx,1,142,0,12,0
2,10,18,22,36,4,6,2008,15000000,mar,3,21,sx,1,88,0,10,0
5,9,17,29,39,3,6,2008,15000000,mar,3,28,sx,1,99,1,9,1
11,13,18,37,47,1,6,2008,27000000,abr,4,04,sx,1,126,0,7,1
6,25,30,45,50,5,7,2008,42000000,abr,4,11,sx,1,156,0,12,0
3,6,7,27,50,5,9,2008,57000000,abr,4,18,sx,1,93,1,14,0
4,19,26,27,30,3,8,2008,15000000,abr,4,25,sx,1,106,0,11,1
2,26,37,45,48,4,8,2008,27000000,mai,5,02,sx,1,158,0,12,0
8,9,40,42,45,6,7,2008,40000000,mai,5,09,sx,1,144,0,13,1
6,9,15,25,38,4,9,2008,55000000,mai,5,16,sx,1,93,1,13,1
5,9,19,21,38,1,7,2008,15000000,mai,5,23,sx,1,92,0,8,0
5,7,14,20,49,2,8,2008,15000000,mai,5,30,sx,1,95,1,10,0
7,19,21,40,50,2,9,2008,15000000,jun,6,06,sx,1,137,1,11,1
13,16,37,44,50,1,9,2008,28000000,jun,6,13,sx,1,160,0,10,0
8,11,36,37,45,3,5,2008,43000000,jun,6,20,sx,1,137,1,8,0
5,20,26,44,50,5,7,2008,59000000,jun,6,27,sx,1,145,1,12,0
7,19,22,27,48,5,7,2008,15000000,jul,7,04,sx,1,123,1,12,0
9,11,13,19,37,3,4,2008,15000000,jul,7,11,sx,1,89,1,7,1
10,14,16,29,44,5,6,2008,15000000,jul,7,18,sx,1,113,1,11,1
7,11,15,24,29,2,7,2008,15000000,jul,7,25,sx,1,86,0,9,1
1,22,25,40,50,1,8,2008,26000000,ago,8,01,sx,1,138,0,9,1
4,5,15,16,45,4,7,2008,39000000,ago,8,08,sx,1,85,1,11,1
11,17,18,26,31,5,6,2008,54000000,ago,8,15,sx,1,103,1,11,1
7,27,29,39,50,5,7,2008,69000000,ago,8,22,sx,1,152,0,12,0
2,20,25,37,39,5,8,2008,88000000,ago,8,29,sx,1,123,1,13,1
7,12,16,17,39,3,8,2008,114000000,set,9,05,sx,1,91,1,11,1
19,23,33,37,50,3,7,2008,15000000,set,9,12,sx,1,162,0,10,0
14,16,19,20,31,6,9,2008,15000000,set,9,19,sx,1,100,0,15,1
14,29,31,33,37,1,2,2008,130000000,set,9,26,sx,1,144,0,3,1
4,13,19,23,38,2,3,2008,15000000,out,10,03,sx,1,97,1,5,1
4,15,22,31,41,1,6,2008,29000000,out,10,10,sx,1,113,1,7,1
3,10,12,42,50,1,5,2008,15000000,out,10,17,sx,1,117,1,6,0
7,15,16,17,45,6,9,2008,28000000,out,10,24,sx,1,100,0,15,1
3,18,25,34,41,2,5,2008,42000000,out,10,31,sx,1,121,1,7,1
1,9,12,17,18,3,4,2008,15000000,nov,11,07,sx,1,57,1,7,1
8,10,14,21,26,3,4,2008,15000000,nov,11,14,sx,1,79,1,7,1
9,14,21,49,50,3,8,2008,15000000,nov,11,21,sx,1,143,1,11,1
8,11,16,25,41,2,4,2008,27000000,nov,11,28,sx,1,101,1,6,0
4,8,21,35,45,5,8,2008,15000000,dez,12,05,sx,1,113,1,13,1
2,19,28,42,49,2,7,2008,15000000,dez,12,12,sx,1,140,0,9,1
28,29,40,46,50,5,7,2008,15000000,dez,12,19,sx,1,193,1,12,0
1,2,26,44,50,1,7,2008,26000000,dez,12,26,sx,1,123,1,8,0
29,30,36,37,48,1,6,2009,37000000,jan,1,02,sx,1,180,0,7,1
7,15,22,28,48,1,4,2009,53000000,jan,1,09,sx,1,120,0,5,1
3,17,22,49,50,3,6,2009,15000000,jan,1,16,sx,1,141,1,9,1
32,33,36,40,49,2,8,2009,15000000,jan,1,23,sx,1,190,0,10,0
4,29,34,35,46,5,8,2009,28000000,jan,1,30,sx,1,148,0,13,1
10,20,30,36,40,3,5,2009,15000000,fev,2,06,sx,1,136,0,8,0
22,33,36,40,42,1,2,2009,15000000,fev,2,13,sx,1,173,1,3,1
9,12,13,14,48,1,2,2009,28000000,fev,2,20,sx,1,96,0,3,1
5,9,37,44,45,6,9,2009,42000000,fev,2,27,sx,1,140,0,15,1
13,17,19,25,35,5,6,2009,100000000,mar,3,06,sx,1,109,1,11,1
12,24,26,36,42,1,4,2009,15000000,mar,3,13,sx,1,140,0,5,1
12,16,23,31,35,4,6,2009,29000000,mar,3,20,sx,1,117,1,10,0
25,33,36,38,42,6,7,2009,15000000,mar,3,27,sx,1,174,0,13,1
2,20,24,32,46,1,9,2009,28000000,abr,4,03,sx,1,124,0,10,0
9,14,16,37,46,2,4,2009,41000000,abr,4,10,sx,1,122,0,6,0
4,7,21,44,47,1,5,2009,58000000,abr,4,17,sx,1,123,1,6,0
4,14,21,24,41,5,8,2009,75000000,abr,4,24,sx,1,104,0,13,1
5,19,31,38,47,3,5,2009,98000000,mai,5,01,sx,1,140,0,8,0
4,23,24,29,31,8,9,2009,123000000,mai,5,08,sx,1,111,1,17,1
8,18,19,20,42,5,9,2009,15000000,mai,5,15,sx,1,107,1,14,0
4,13,14,33,43,1,6,2009,15000000,mai,5,22,sx,1,107,1,7,1
2,5,30,37,47,3,6,2009,28000000,mai,5,29,sx,1,121,1,9,1
11,19,26,35,40,2,5,2009,43000000,jun,6,05,sx,1,131,1,7,1
6,14,16,34,50,4,6,2009,58000000,jun,6,12,sx,1,120,0,10,0
4,16,17,20,29,5,7,2009,15000000,jun,6,19,sx,1,86,0,12,0
6,11,21,30,39,2,8,2009,15000000,jun,6,26,sx,1,107,1,10,0
21,29,34,46,47,6,8,2009,28000000,jul,7,03,sx,1,177,1,14,0
6,16,20,42,46,1,6,2009,42000000,jul,7,10,sx,1,130,0,7,1
2,8,17,32,50,3,7,2009,57000000,jul,7,17,sx,1,109,1,10,0
14,15,25,35,47,5,9,2009,15000000,jul,7,24,sx,1,136,0,14,0
5,9,20,21,26,3,6,2009,28000000,jul,7,31,sx,1,81,1,9,1
10,20,22,24,31,2,7,2009,42000000,ago,8,07,sx,1,107,1,9,1
5,8,24,30,49,3,9,2009,57000000,ago,8,14,sx,1,116,0,12,0
4,7,16,31,42,3,5,2009,74000000,ago,8,21,sx,1,100,0,8,0
8,36,37,41,49,5,7,2009,15000000,ago,8,28,sx,1,171,1,12,0
6,9,20,38,39,3,9,2009,28000000,set,9,04,sx,1,112,0,12,0
12,15,35,42,43,4,6,2009,42000000,set,9,11,sx,1,147,1,10,0
6,16,30,38,41,2,4,2009,100000000,set,9,18,sx,1,131,1,6,0
6,17,18,21,34,3,9,2009,15000000,set,9,25,sx,1,96,0,12,0
22,23,24,29,44,1,5,2009,15000000,out,10,02,sx,1,142,0,6,0
7,11,29,46,50,4,7,2009,28000000,out,10,09,sx,1,143,1,11,1
12,23,30,31,47,3,4,2009,43000000,out,10,16,sx,1,143,1,7,1
6,18,20,29,31,2,8,2009,59000000,out,10,23,sx,1,104,0,10,0
9,33,35,38,40,2,6,2009,77000000,out,10,30,sx,1,155,1,8,0
11,19,34,43,45,5,9,2009,100000000,nov,11,06,sx,1,152,0,14,0
13,15,25,26,32,3,4,2009,15000000,nov,11,13,sx,1,111,1,7,1
5,9,28,43,47,2,9,2009,15000000,nov,11,20,sx,1,132,0,11,1
5,8,13,15,33,8,9,2009,15000000,nov,11,27,sx,1,74,0,17,1
18,19,25,30,44,1,3,2009,29000000,dez,12,04,sx,1,136,0,4,0
20,41,43,44,46,2,9,2009,43000000,dez,12,11,sx,1,194,0,11,1
14,30,32,35,49,3,8,2009,59000000,dez,12,18,sx,1,160,0,11,1
4,5,14,17,34,3,5,2009,15000000,dez,12,25,sx,1,74,0,8,0
9,22,24,27,36,5,7,2010,27000000,jan,1,01,sx,1,118,0,12,0
4,5,14,44,46,8,9,2010,41000000,jan,1,08,sx,1,113,1,17,1
11,26,29,49,50,4,7,2010,58000000,jan,1,15,sx,1,165,1,11,1
4,22,27,36,44,7,9,2010,15000000,jan,1,22,sx,1,133,1,16,0
9,17,30,39,43,5,7,2010,28000000,jan,1,29,sx,1,138,0,12,0
34,35,38,39,46,3,4,2010,100000000,fev,2,05,sx,1,192,0,7,1
1,5,18,38,45,4,6,2010,129000000,fev,2,12,sx,1,107,1,10,0
12,31,37,38,43,2,3,2010,15000000,fev,2,19,sx,1,161,1,5,1
7,11,18,29,42,6,7,2010,29000000,fev,2,26,sx,1,107,1,13,1
12,18,19,43,49,3,9,2010,44000000,mar,3,05,sx,1,141,1,12,0
1,26,33,36,46,6,7,2010,15000000,mar,3,12,sx,1,142,0,13,1
10,28,30,38,39,2,7,2010,29000000,mar,3,19,sx,1,145,1,9,1
8,16,18,37,43,2,6,2010,44000000,mar,3,26,sx,1,122,0,8,0
12,18,24,26,45,4,5,2010,15000000,abr,4,02,sx,1,125,1,9,1
7,21,23,24,44,3,4,2010,15000000,abr,4,09,sx,1,119,1,7,1
9,11,17,26,40,3,9,2010,29000000,abr,4,16,sx,1,103,1,12,0
3,7,8,43,46,6,8,2010,44000000,abr,4,23,sx,1,107,1,14,0
6,22,24,25,36,3,8,2010,59000000,abr,4,30,sx,1,113,1,11,1
3,6,15,21,32,7,9,2010,77000000,mai,5,07,sx,1,77,1,16,0
1,17,31,43,47,2,3,2010,99000000,mai,5,14,sx,1,139,1,5,1
7,19,30,38,50,4,7,2010,15000000,mai,5,21,sx,1,144,0,11,1
4,9,31,32,33,3,7,2010,15000000,mai,5,28,sx,1,109,1,10,0
4,17,34,40,42,4,9,2010,15000000,jun,6,04,sx,1,137,1,13,1
2,22,24,36,44,1,2,2010,15000000,jun,6,11,sx,1,128,0,3,1
2,29,31,32,38,1,4,2010,15000000,jun,6,18,sx,1,132,0,5,1
1,8,18,28,31,8,9,2010,28000000,jun,6,25,sx,1,86,0,17,1
12,13,36,41,46,1,8,2010,15000000,jul,7,02,sx,1,148,0,9,1
9,24,37,39,49,3,9,2010,28000000,jul,7,09,sx,1,158,0,12,0
38,39,45,46,49,7,8,2010,41000000,jul,7,16,sx,1,217,1,15,1
4,13,35,37,46,3,9,2010,15000000,jul,7,23,sx,1,135,1,12,0
